Date,TQQQ,QLD,SSO,XLE,GLD,IEF,SPY,QQQ,state,year,total,revenue_rate,total_revenue_rate,,,,,
2006-02-16,,,,33.55089188,54.52000046,55.39728928,93.96710968,36.41666794,risk1,2006,52.15,1.54%,1.23%,,,,,
2006-02-17,,,,33.78672028,54.95999908,55.5850296,93.71246338,36.12736893,risk1,2006,51.94,1.13%,0.90%,,,,,
2006-02-21,,,,34.44958115,55.11999893,55.51797485,93.47968292,35.72409439,risk1,2006,51.68,0.62%,0.50%,,,,,
2006-02-22,,,,33.80584717,55.34000015,55.72584915,94.04711151,36.17121124,risk1,2006,52.09,1.42%,1.14%,,,,,
2006-02-23,,,,33.76760101,54.63999939,55.5917244,93.90892792,36.07477951,risk1,2006,51.99,1.23%,0.98%,,,,,
2006-02-24,,,,34.18188477,55.63999939,55.52466202,94.14899445,36.17121124,risk1,2006,52.13,1.50%,1.20%,,,,,
2006-02-27,,,,33.58913803,55.22000122,55.41733932,94.18535614,36.57447052,risk1,2006,52.3,1.83%,1.46%,,,,,
2006-02-28,,,,33.35968781,56.06999969,55.63866425,93.29051208,36.03093338,risk1,2006,51.73,0.72%,0.58%,,,,,
2006-03-01,,,,33.92694473,56.09999847,55.52899933,94.11988831,36.5218544,risk1,2006,52.26,1.75%,1.40%,,,,,
2006-03-02,,,,34.49419022,56.74000168,55.30699921,94.11263275,36.54817963,risk1,2006,52.26,1.75%,1.40%,,,,,
2006-03-03,,,,34.50056839,56.27999878,55.17245865,93.67610931,36.33775711,risk1,2006,52.01,1.27%,1.01%,,,,,
2006-03-06,,,,33.30232239,55.22999954,54.99756622,93.24688721,36.02217102,risk1,2006,51.71,0.68%,0.55%,,,,,
2006-03-07,,,,32.81153488,54.95000076,55.02445984,93.10137177,35.81175995,risk1,2006,51.57,0.41%,0.33%,,,,,
2006-03-08,,,,32.81153488,53.97000122,55.05138016,93.29781342,35.82930756,risk1,2006,51.65,0.56%,0.45%,,,,,
2006-03-09,,,,32.57571411,54.24000168,55.10515976,92.67210388,35.52246475,risk1,2006,51.28,-0.16%,-0.12%,,,,,
2006-03-10,,,,32.75418854,53.83000183,54.99756622,93.55239868,35.55754852,risk1,2006,51.64,0.55%,0.44%,,,,,
2006-03-13,,,,33.39791489,54.31000137,54.95046997,93.72702789,35.66273499,risk1,2006,51.76,0.78%,0.62%,,,,,
2006-03-14,,,,34.01615906,54.86999893,55.26664352,94.70919037,36.26762009,risk1,2006,52.39,2.01%,1.60%,,,,,
2006-03-15,,,,34.19463348,55.11999893,55.16574478,95.13114929,36.57447052,risk1,2006,52.68,2.57%,2.06%,,,,,
2006-03-16,,,,34.73638916,55.34000015,55.51554871,95.32758331,36.26762009,risk1,2006,52.64,2.49%,1.99%,,,,,
2006-03-17,,,,34.29594803,55.11999893,55.40116119,95.40718842,36.36325836,risk1,2006,52.71,2.63%,2.10%,,,,,
2006-03-20,,,,33.53523254,55.16999817,55.50881195,95.25382233,36.45098495,risk1,2006,52.68,2.57%,2.06%,,,,,
2006-03-21,,,,33.47770691,54.83000183,55.28007889,94.65485382,36.06498337,risk1,2006,52.29,1.81%,1.45%,,,,,
2006-03-22,,,,33.7014389,54.75,55.34739685,95.23194885,36.15270615,risk1,2006,52.55,2.32%,1.85%,,,,,
2006-03-23,,,,34.20005035,54.70000076,55.20610046,95.03469849,36.04743958,risk1,2006,52.43,2.08%,1.67%,,,,,
2006-03-24,,,,34.43019104,55.70999908,55.44830704,95.10773468,36.23167801,risk1,2006,52.54,2.30%,1.84%,,,,,
2006-03-27,,,,34.60917664,56.38999939,55.32720947,94.96894073,36.2404213,risk1,2006,52.48,2.18%,1.74%,,,,,
2006-03-28,,,,34.87766266,56.06000137,55.05812454,94.38460541,36.09130859,risk1,2006,52.19,1.62%,1.29%,,,,,
2006-03-29,,,,35.28679276,57.06999969,55.00426865,94.97625732,36.77557373,risk1,2006,52.7,2.61%,2.09%,,,,,
2006-03-30,,,,35.26760864,58.59999847,54.8428154,94.80826569,36.88963699,risk1,2006,52.68,2.57%,2.06%,,,,,
2006-03-31,,,,34.77539063,58.09999847,54.88319016,94.83016968,36.78434372,risk1,2006,52.65,2.51%,2.01%,,,,,
2006-04-03,,,,34.96715927,58.47000122,54.8224411,94.75714111,36.82821655,risk1,2006,52.63,2.47%,1.98%,,,,,
2006-04-04,,,,35.42743683,58.33000183,54.82917404,95.36334991,37.02999115,risk1,2006,52.96,3.12%,2.49%,,,,,
2006-04-05,,,,36.00914383,58.65999985,54.95744324,95.69203949,37.38090897,risk1,2006,53.23,3.64%,2.91%,,,,,
2006-04-06,,,,36.08586884,59.27999878,54.80218887,95.58979797,37.48617554,risk1,2006,53.23,3.64%,2.91%,,,,,
2006-04-07,,,,35.38267136,58.59000015,54.55243683,94.61833954,37.12649918,risk1,2006,52.7,2.61%,2.09%,,,,,
2006-04-10,,,,36.05388641,59.59999847,54.61994934,94.76441193,37.07385254,risk1,2006,52.74,2.69%,2.15%,,,,,
2006-04-11,,,,35.79818726,59.00999832,54.72121048,93.96096802,36.77557373,risk1,2006,52.29,1.81%,1.45%,,,,,
2006-04-12,,,,35.56167221,59.43000031,54.5929718,94.13627625,36.78434372,risk1,2006,52.37,1.97%,1.57%,,,,,
2006-04-13,,,,35.67672348,59.5,54.30276871,94.01209259,36.9335022,risk1,2006,52.38,1.99%,1.59%,,,,,
2006-04-17,,,,36.33516312,61.09000015,54.51197052,93.97558594,36.54748917,risk1,2006,52.21,1.65%,1.32%,,,,,
2006-04-18,,,,37.22372055,61.84999847,54.6874733,95.46562958,37.24930573,risk1,2006,53.09,3.37%,2.69%,,,,,
2006-04-19,,,,37.79905701,63.75,54.53222656,95.64823151,37.41598129,risk1,2006,53.23,3.64%,2.91%,,,,,
2006-04-20,,,,37.40910339,60.95999908,54.48498154,95.77971649,37.28440094,risk1,2006,53.23,3.64%,2.91%,,,,,
2006-04-21,,,,38.18899918,63.20000076,54.59971619,95.79430389,36.84575272,risk1,2006,53.06,3.31%,2.65%,,,,,
2006-04-24,,,,37.60728455,61.65000153,54.66720963,95.61904144,36.81066895,risk1,2006,52.97,3.13%,2.51%,,,,,
2006-04-25,,,,37.12143326,62.77999878,54.32302856,95.224617,36.73171997,risk1,2006,52.78,2.76%,2.21%,,,,,
2006-04-26,,,,36.53334045,63.65000153,54.29604721,95.246521,36.72293472,risk1,2006,52.79,2.78%,2.23%,,,,,
2006-04-27,,,,36.11782837,62.95999908,54.44451523,95.70666504,37.07385254,risk1,2006,53.11,3.41%,2.73%,,,,,
2006-04-28,,,,36.52693558,65.08999634,54.53899002,96.02805328,36.71416473,risk1,2006,53.1,3.39%,2.71%,,,,,
2006-05-01,,,,37.12784958,65.16000366,54.24365234,95.246521,36.35447311,risk1,2006,52.64,2.49%,1.99%,,,,,
2006-05-02,,,,37.95246506,66.55000305,54.33167648,95.96231842,36.45098495,risk1,2006,52.97,3.13%,2.51%,,,,,
2006-05-03,,,,37.36435699,66.45999908,54.25720978,95.60441589,36.39834213,risk1,2006,52.8,2.80%,2.24%,,,,,
2006-05-04,,,,37.19178009,67.48000336,54.22333145,95.94770813,36.69663239,risk1,2006,53.06,3.31%,2.65%,,,,,
2006-05-05,,,,37.62644196,67.98999786,54.35198593,96.7950058,36.98614883,risk1,2006,53.51,4.19%,3.35%,,,,,
2006-05-08,,,,37.46025085,67.55999756,54.37914658,96.67814636,37.02122498,risk1,2006,53.48,4.13%,3.30%,,,,,
2006-05-09,,,,37.68399811,69.68000031,54.35874557,96.86806488,36.880867,risk1,2006,53.5,4.17%,3.33%,,,,,
2006-05-10,,,,38.03557587,70.37999725,54.38589096,96.81689453,36.55626297,risk1,2006,53.35,3.87%,3.10%,,,,,
2006-05-11,,,,37.54335785,71.02999878,54.29104614,95.64823151,35.74037933,risk1,2006,52.56,2.34%,1.87%,,,,,
2006-05-12,,,,36.27122498,71.12000275,54.08785629,94.3992157,35.25789261,risk1,2006,51.86,0.97%,0.78%,,,,,
2006-05-15,,,,35.51051712,67.41000366,54.20298004,94.58912659,35.23155975,risk1,2006,51.93,1.11%,0.89%,,,,,
2006-05-16,,,,35.6383667,68.61000061,54.40620804,94.45035553,34.96838379,risk1,2006,51.77,0.80%,0.64%,,,,,
2006-05-17,,,,34.7306366,68.15000153,54.25042725,92.65351868,34.49464798,risk1,2006,50.86,-0.97%,-0.78%,,,,,
2006-05-18,,,,34.30871964,67.45999908,54.63650131,92.18605804,34.25777817,risk1,2006,50.58,-1.52%,-1.21%,,,,,
2006-05-19,,,,34.53246307,65.58000183,54.60263824,92.83612823,34.52098083,risk1,2006,50.94,-0.82%,-0.65%,,,,,
2006-05-22,,,,34.33429337,65.30000305,54.67713928,92.12763214,34.18761063,risk1,2006,50.53,-1.62%,-1.29%,,,,,
2006-05-23,,,,34.34070206,66.37999725,54.65686798,91.42643738,33.85423279,risk1,2006,50.11,-2.43%,-1.95%,,,,,
2006-05-24,,,,33.9187851,64.05999756,54.73811722,92.15684509,34.08232117,risk1,2006,50.5,-1.67%,-1.34%,,,,,
2006-05-25,,,,35.10778809,64.69999695,54.65007401,93.29628754,34.52974701,risk1,2006,51.13,-0.45%,-0.36%,,,,,
2006-05-26,,,,35.22287369,65.09999847,54.69743347,93.77105713,34.6437912,risk1,2006,51.37,0.02%,0.02%,,,,,
2006-05-30,,,,34.66671753,65.11000061,54.65007401,92.10570526,33.89810562,risk1,2006,50.4,-1.87%,-1.50%,,,,,
2006-05-31,,,,35.51051712,64.23000336,54.48071289,93.13557434,34.05601501,risk1,2006,50.88,-0.93%,-0.75%,,,,,
2006-06-01,,,,35.60641479,62.56000137,54.57183456,94.02670288,34.86311722,risk1,2006,51.56,0.39%,0.31%,,,,,
2006-06-02,,,,36.13700104,63.5,54.99336243,94.22393036,34.77537918,risk1,2006,51.6,0.47%,0.37%,,,,,
2006-06-05,,,,34.99912262,63.29000092,54.88460922,92.85073853,34.02091217,risk1,2006,50.75,-1.19%,-0.95%,,,,,
2006-06-06,,,,34.96715927,62.54999924,54.93214417,92.6242981,33.99459839,risk1,2006,50.65,-1.38%,-1.11%,,,,,
2006-06-07,,,,33.62473297,62.27999878,54.85738373,91.93041229,33.74018478,risk1,2006,50.27,-2.12%,-1.70%,,,,,
2006-06-08,,,,34.09776306,60.90999985,54.93214417,91.85006714,33.68755341,risk1,2006,50.22,-2.22%,-1.78%,,,,,
2006-06-09,,,,33.75257874,60.45000076,55.0681076,91.55789185,33.46823883,risk1,2006,50.01,-2.63%,-2.10%,,,,,
2006-06-12,,,,33.06217957,60.02999878,55.04088974,90.56454468,32.81027603,risk1,2006,49.35,-3.91%,-3.13%,,,,,
2006-06-13,,,,32.08412552,55.91999817,55.11568832,89.5127182,32.67868423,risk1,2006,48.88,-4.83%,-3.86%,,,,,
2006-06-14,,,,32.90877151,55.61999893,54.7485733,90.20662689,33.01205826,risk1,2006,49.29,-4.03%,-3.22%,,,,,
2006-06-15,,,,34.16169357,57.31999969,54.62619781,92.12032318,33.90689468,risk1,2006,50.41,-1.85%,-1.48%,,,,,
2006-06-16,,,,34.0699501,57.68000031,54.59221649,91.44902802,33.65755463,risk1,2006,50.04,-2.57%,-2.06%,,,,,
2006-06-19,,,,32.78672028,56.36000061,54.53102875,90.73006439,33.38541794,risk1,2006,49.65,-3.33%,-2.66%,,,,,
2006-06-20,,,,32.63272476,57.29999924,54.49029541,91.03818512,33.42930222,risk1,2006,49.79,-3.06%,-2.45%,,,,,
2006-06-21,,1.989870548,7.489946365,33.36416626,58.33000183,54.48338318,91.71318817,33.95603943,risk1,2006,50.27,-2.12%,-1.70%,,,,,
2006-06-22,,1.943050027,7.410332203,33.50533676,57.72999954,54.30669022,91.30961609,33.52587509,risk1,2006,49.93,-2.78%,-2.23%,,,,,
2006-06-23,,1.937265635,7.409286499,34.24961853,57.99000168,54.2591095,91.29492188,33.4907608,risk1,2006,49.91,-2.82%,-2.26%,,,,,
2006-06-26,,1.944426656,7.452236176,34.62816238,58.27999878,54.22512054,91.69846344,33.57856369,risk1,2006,50.11,-2.43%,-1.95%,,,,,
2006-06-27,,1.871717572,7.32024622,34.69231033,57.68000031,54.36786652,90.90611267,32.94648743,risk1,2006,49.54,-3.54%,-2.83%,,,,,
2006-06-28,,1.894577146,7.385191917,35.28902054,57.54000092,54.19112778,91.52242279,33.19228363,risk1,2006,49.89,-2.86%,-2.29%,,,,,
2006-06-29,,2.009149313,7.698408127,36.28995514,59.52000046,54.41547394,93.37121582,34.20182419,risk1,2006,51.03,-0.64%,-0.51%,,,,,
2006-06-30,,1.989870548,7.694215775,36.41185379,61.22999954,54.60580063,93.37854767,34.03504944,risk1,2006,50.97,-0.76%,-0.61%,,,,,
2006-07-03,,2.013005257,7.79897356,36.80323792,62.18000031,54.57988358,93.76003265,34.23694992,risk1,2006,51.2,-0.31%,-0.25%,,,,,
2006-07-05,,1.933686137,7.695270061,36.97005844,62.5,54.38193512,93.2244339,33.4907608,risk1,2006,50.69,-1.30%,-1.04%,,,,,
2006-07-06,,1.92239356,7.719361782,36.87382507,63.02000046,54.55258942,93.49589539,33.45565033,risk1,2006,50.78,-1.13%,-0.90%,,,,,
2006-07-07,,1.88025558,7.630321026,36.37335587,62.63000107,54.72320557,92.88700867,33.08692932,risk1,2006,50.39,-1.89%,-1.51%,,,,,
2006-07-10,,1.849133253,7.643937588,36.48244095,62.02000046,54.76412582,93.06304932,32.79724503,risk1,2006,50.34,-1.99%,-1.59%,,,,,
2006-07-11,,1.879428744,7.708884239,37.14972687,63.81000137,54.82558441,93.47388458,33.04304886,risk1,2006,50.61,-1.46%,-1.17%,,,,,
2006-07-12,,1.805066943,7.556993008,37.02138138,64.91999817,54.87334824,92.47612762,32.41976166,risk1,2006,49.96,-2.73%,-2.18%,,,,,
2006-07-13,,1.747506261,7.32862711,36.66851044,65.55000305,54.99619293,90.9721756,31.87547874,risk1,2006,49.14,-4.32%,-3.46%,,,,,
2006-07-14,,1.71170187,7.262629986,37.09838104,65.84999847,55.03714371,90.62001801,31.55065346,risk1,2006,48.87,-4.85%,-3.88%,,,,,
2006-07-17,,1.719964385,7.255298138,35.89855194,63.95000076,54.9894104,90.4879303,31.62966537,risk1,2006,48.85,-4.89%,-3.91%,,,,,
2006-07-18,,1.729603529,7.266820908,35.94348145,62.90000153,54.77780151,90.95014954,31.73502159,risk1,2006,49.07,-4.46%,-3.57%,,,,,
2006-07-19,,1.767059922,7.516137123,36.31559753,64.02999878,55.12585068,92.21199799,32.14762878,risk1,2006,49.74,-3.15%,-2.52%,,,,,
2006-07-20,,1.718862534,7.428143024,35.4365921,62.54000092,55.24194336,91.58106232,31.67358589,risk1,2006,49.3,-4.01%,-3.21%,,,,,
2006-07-21,,1.680029035,7.310815811,34.95537949,61.70999908,55.20775986,90.93547058,31.33998489,risk1,2006,48.91,-4.77%,-3.82%,,,,,
2006-07-24,,1.74199748,7.542329788,36.00763321,61.13999939,55.20775986,92.59351349,31.96325874,risk1,2006,49.82,-3.00%,-2.40%,,,,,
2006-07-25,,1.759073138,7.637651443,36.63643646,61.54999924,55.15317154,92.92366791,32.14762878,risk1,2006,50.03,-2.59%,-2.07%,,,,,
2006-07-26,,1.762653351,7.652317047,37.37428284,62,55.28964615,93.04840851,32.12128448,risk1,2006,50.07,-2.51%,-2.01%,,,,,
2006-07-27,,1.744751692,7.578985691,37.0534935,62.90000153,55.28288269,92.96032715,31.91059875,risk1,2006,49.95,-2.75%,-2.20%,,,,,
2006-07-28,,1.814430952,7.751835346,37.0663147,63.11000061,55.43302917,93.89208984,32.57777405,risk1,2006,50.59,-1.50%,-1.20%,,,,,
2006-07-31,,1.810851097,7.730880737,37.63093567,63.15999985,55.52168655,93.79671478,32.56900787,risk1,2006,50.55,-1.58%,-1.26%,,,,,
2006-08-01,,1.748882413,7.661746025,37.67583847,64.31999969,55.53473282,93.33449554,32.02471924,risk1,2006,50.14,-2.38%,-1.90%,,,,,
2006-08-02,,1.781106353,7.720412254,37.75283813,64.75,55.58270264,93.96543884,32.384655,risk1,2006,50.54,-1.60%,-1.28%,,,,,
2006-08-03,,1.810851097,7.759168148,37.42561722,64.12000275,55.59637451,94.2148819,32.58654404,risk1,2006,50.72,-1.25%,-1.00%,,,,,
2006-08-04,,1.794326305,7.757073879,37.1112175,64.27999878,55.87047577,94.05348206,32.43732834,risk1,2006,50.6,-1.48%,-1.18%,,,,,
2006-08-07,,1.772568226,7.714123726,37.50260544,64.5,55.79514313,93.83338928,32.22663116,risk1,2006,50.42,-1.83%,-1.46%,,,,,
2006-08-08,,1.750259876,7.651270866,37.28446579,63.97000122,55.80198288,93.47388458,32.02471924,risk1,2006,50.2,-2.26%,-1.81%,,,,,
2006-08-09,,1.749433398,7.592605114,37.59886169,64.62999725,55.77461243,93.15843201,32.06861115,risk1,2006,50.09,-2.47%,-1.98%,,,,,
2006-08-10,,1.771742463,7.65965271,37.29086685,63.25,55.78829575,93.44452667,32.29687119,risk1,2006,50.3,-2.06%,-1.65%,,,,,
2006-08-11,,1.754390717,7.604130268,37.3101387,62.70999908,55.61014557,93.18041229,32.06861115,risk1,2006,50.1,-2.45%,-1.96%,,,,,
2006-08-14,,1.770364523,7.630321026,36.54017639,62.25,55.51421356,93.25379181,32.27930832,risk1,2006,50.21,-2.24%,-1.79%,,,,,
2006-08-15,,1.862628937,7.817831039,36.72625351,62.00999832,55.78146362,94.36894226,33.09571457,risk1,2006,50.99,-0.72%,-0.58%,,,,,
2006-08-16,,1.95131278,7.948776722,36.57226181,62.49000168,56.01441193,95.15393066,33.87704086,risk1,2006,51.61,0.49%,0.39%,,,,,
2006-08-17,,1.963706017,7.981245995,36.31559753,61.02999878,56.00067902,95.3960495,33.99993515,risk1,2006,51.76,0.78%,0.62%,,,,,
2006-08-18,,1.960951805,8.013721466,36.88022995,61.04000092,56.15145111,95.88026428,34.0526123,risk1,2006,51.97,1.19%,0.95%,,,,,
2006-08-21,,1.925148129,7.976009369,37.12404633,62.43999863,56.21998215,95.46942139,33.72777939,risk1,2006,51.68,0.62%,0.50%,,,,,
2006-08-22,,1.930105329,7.989623547,37.37428284,62.04999924,56.24053192,95.46206665,33.73657608,risk1,2006,51.68,0.62%,0.50%,,,,,
2006-08-23,,1.897606254,7.917345524,36.59150696,61.83000183,56.18564606,95.19795227,33.48199081,risk1,2006,51.47,0.21%,0.17%,,,,,
2006-08-24,,1.91220367,7.946678638,37.0663147,61.75,56.24053192,95.11725616,33.57856369,risk1,2006,51.48,0.23%,0.19%,,,,,
2006-08-25,,1.919639468,7.961344242,37.35501862,61.77000046,56.3158493,95.23464203,33.64001465,risk1,2006,51.55,0.37%,0.30%,,,,,
2006-08-28,,1.947180986,8.029436111,36.816082,61,56.309021,95.6894989,33.89457321,risk1,2006,51.83,0.92%,0.73%,,,,,
2006-08-29,,1.959575295,8.067149162,36.58509064,60.93999863,56.35696793,95.79956055,33.99993515,risk1,2006,51.92,1.09%,0.87%,,,,,
2006-08-30,,1.976925611,8.066098213,35.96913528,61.41999817,56.42556763,95.85824585,34.15794373,risk1,2006,52.01,1.27%,1.01%,,,,,
2006-08-31,,1.974722981,8.059817314,35.71889877,62.29000092,56.50086212,95.84357452,34.12283325,risk1,2006,51.99,1.23%,0.98%,,,,,
2006-09-01,,1.99262464,8.141523361,36.25144577,62.13999939,56.58478928,96.41584015,34.30716705,risk1,2006,52.29,1.81%,1.45%,,,,,
2006-09-05,,2.028428793,8.156187057,36.72625351,63.36000061,56.39904785,96.59922791,34.64076996,risk1,2006,52.5,2.22%,1.78%,,,,,
2006-09-06,,1.949384332,8.013721466,35.48151779,62.86000061,56.35783768,95.74821472,33.947258,risk1,2006,51.88,1.01%,0.81%,,,,,
2006-09-07,,1.932033777,7.9330616,35.51358414,61.25,56.39904785,95.30804443,33.78922653,risk1,2006,51.64,0.55%,0.44%,,,,,
2006-09-08,,1.95131278,7.989623547,34.61532593,60.63999939,56.45410538,95.579422,33.9911499,risk1,2006,51.83,0.92%,0.73%,,,,,
2006-09-11,,1.977476835,7.987534523,33.54381561,58.5,56.35091782,95.67484283,34.20182419,risk1,2006,51.95,1.15%,0.92%,,,,,
2006-09-12,,2.054317474,8.143615723,33.33206558,58.31999969,56.5091095,96.61389923,34.83391571,risk1,2006,52.58,2.38%,1.90%,,,,,
2006-09-13,,2.078003168,8.223229408,34.02502441,58.61999893,56.56414795,97.00274658,35.07093048,risk1,2006,52.83,2.86%,2.29%,,,,,
2006-09-14,,2.07580018,8.183423996,33.26793671,57.18999863,56.45410538,97.0100708,35.10604858,risk1,2006,52.85,2.90%,2.32%,,,,,
2006-09-15,,2.095904827,8.253609657,33.38188171,57.40000153,56.41970825,97.23773956,35.23164749,risk1,2006,52.99,3.17%,2.54%,,,,,
2006-09-18,,2.094252586,8.25256443,34.18664551,58.22999954,56.33720779,97.37039185,35.24043274,risk1,2006,53.04,3.27%,2.62%,,,,,
2006-09-19,,2.068914413,8.199134827,33.6715889,56.91999817,56.67421722,97.12724304,35.00326538,risk1,2006,52.85,2.90%,2.32%,,,,,
2006-09-20,,2.130331993,8.298651695,32.77024841,57.25999832,56.68796158,97.64305115,35.51272202,risk1,2006,53.26,3.70%,2.96%,,,,,
2006-09-21,,2.102790594,8.208562851,33.18874359,57.95000076,57.09375763,97.17144775,35.29315567,risk1,2006,52.99,3.17%,2.54%,,,,,
2006-09-22,,2.066436052,8.163521767,33.04710007,58.5,57.26570511,96.87667084,35.02084351,risk1,2006,52.76,2.73%,2.18%,,,,,
2006-09-25,,2.142725706,8.315413475,33.09215546,58.5,57.45828629,97.62094879,35.63570786,risk1,2006,53.3,3.78%,3.02%,,,,,
2006-09-26,,2.160351992,8.424357414,33.81965637,58.74000168,57.3138504,98.43151093,35.81138611,risk1,2006,53.7,4.56%,3.64%,,,,,
2006-09-27,,2.149335146,8.4453125,34.37979507,59.81000137,57.30010605,98.54940796,35.76747131,risk1,2006,53.73,4.61%,3.69%,,,,,
2006-09-28,,2.162004232,8.472547531,34.2703476,59.79000092,57.24509048,98.51258087,35.86409378,risk1,2006,53.75,4.65%,3.72%,,,,,
2006-09-29,,2.145479918,8.437979698,34.41197968,59.47000122,57.18312836,98.43151093,35.70597458,risk1,2006,53.65,4.46%,3.57%,,,,,
2006-10-02,,2.093151093,8.367793083,34.01926041,59.15000153,57.28396606,98.06306458,35.25801468,risk1,2006,53.33,3.84%,3.07%,,,,,
2006-10-03,,2.108022928,8.398171425,32.77024841,57.11000061,57.27703857,98.26940155,35.40733719,risk1,2006,53.47,4.11%,3.29%,,,,,
2006-10-04,,2.204694033,8.59510994,33.25311279,56.36999893,57.53939438,99.41892242,36.27692032,risk1,2006,54.28,5.69%,4.55%,,,,,
2006-10-05,,2.233612299,8.63596344,33.89049911,56.91999817,57.33919144,99.61048889,36.45260239,risk1,2006,54.43,5.98%,4.78%,,,,,
2006-10-06,,2.221219063,8.610823631,33.92269135,56.99000168,57.02852249,99.48522949,36.37353516,risk1,2006,54.34,5.80%,4.64%,,,,,
2006-10-09,,2.232236147,8.619199753,33.41406631,57.20000076,57.09757614,99.54417419,36.49650955,risk1,2006,54.42,5.96%,4.77%,,,,,
2006-10-10,,2.244628668,8.645388603,34.03858185,57,56.75232315,99.67680359,36.55799103,risk1,2006,54.49,6.09%,4.88%,,,,,
2006-10-11,,2.23636651,8.610823631,33.49776459,56.88000107,56.68331909,99.55890656,36.4877243,risk1,2006,54.42,5.96%,4.77%,,,,,
