date,qqq_price,krw_price,qqq_buy_quantity,revenue_rate,mdd
2021-09-30,72.77,1183.72,12,2995.37,-1.45
2021-10-04,70.69,1183.78,12,2892.88,-4.26
2022-01-19,75.32,1192.98,11,3098.82,0.0
2022-01-20,73.33,1188.16,11,2987.88,-3.04
2022-01-21,69.2,1192.43,12,2811.06,-8.17
2022-01-24,70.04,1191.5,12,2830.53,-7.13
2022-01-25,66.54,1195.66,13,2680.6,-11.46
2022-01-26,66.65,1196.1,13,2673.09,-11.28
2022-01-27,65.1,1200.63,12,2607.32,-13.01
2022-01-28,69.27,1203.46,12,2774.49,-7.22
2022-02-23,60.15,1192.68,14,2362.59,-20.16
2022-03-07,58.21,1216.71,15,2319.72,-21.18
2022-03-08,57.64,1232.3,14,2316.06,-20.95
2022-03-14,55.72,1236.89,14,2234.35,-23.3
2022-04-26,54.67,1260.71,15,2223.92,-23.3
2022-04-27,54.61,1266.28,14,2221.8,-23.04
2022-05-09,47.58,1274.86,17,1927.58,-32.49
2022-05-11,45.82,1278.15,17,1849.29,-34.82
2022-05-12,45.62,1290.75,17,1851.56,-34.47
