date,QQQ price,Dollar price,qqq_buy_quantity,revenue_rate,mdd
2010-09-24,44.53,1152.5999755859375,20,30.93,0.0
2010-10-25,46.53,1117.9,19,32.13,0.0
2010-11-23,46.69,1128.0,19,33.21,0.0
2010-12-27,49.21,1125.5,18,39.42,0.0
2011-01-25,50.79,1120.1,17,42.52,0.0
2011-02-22,51.24,1117.4,18,42.71,0.0
2011-03-25,51.14,1119.1,17,41.99,-0.04
2011-04-25,52.62,1079.3,18,40.25,-0.81
2011-05-24,50.89,1093.1,18,36.79,-2.84
2011-06-24,49.03,1074.800048828125,19,29.14,-7.96
2011-07-25,53.63,1052.1,17,37.72,-1.45
2011-08-25,46.73,1088.3,20,23.77,-11.18
2011-09-26,49.49,1180.6,17,41.59,0.0
2011-10-25,51.8,1131.1,17,41.38,0.0
2011-11-23,48.14,1144.8,18,32.52,-5.94
2011-12-23,50.81,1152.1,17,40.2,-0.09
2012-01-25,54.8,1127.3,16,47.3,0.0
2012-02-23,57.8,1127.1,15,54.61,0.0
2012-03-26,61.87,1132.1,14,65.36,0.0
2012-04-24,58.8,1138.3,15,57.25,-4.44
2012-05-24,56.45,1176.1,15,55.25,-5.21
2012-06-25,56.57,1161.0,16,52.86,-6.23
2012-07-25,56.94,1148.2,15,51.51,-6.66
2012-08-27,62.28,1134.2,14,62.91,0.0
2012-09-24,63.68,1119.5,14,63.62,0.0
2012-10-23,59.7,1102.5,15,50.45,-7.67
2012-11-26,59.51,1058.1,16,43.39,-11.67
2012-12-24,59.74,1075.4,16,45.73,-9.88
2013-01-25,61.52,1068.3,15,48.51,-7.81
2013-02-22,61.64,1085.9,15,50.66,-6.11
2013-03-22,63.12,1115.2,14,57.77,-1.26
2013-04-24,63.88,1115.7,14,59.06,-0.03
2013-05-24,67.56,1127.699951171875,13,69.26,0.0
2013-06-24,64.37,1160.6,13,65.25,-1.94
2013-07-25,69.21,1115.4,13,69.98,0.0
2013-08-26,70.82,1111.0,13,72.43,0.0
2013-09-24,72.99,1073.5,13,70.93,-0.41
2013-10-25,76.76,1062.1500244140625,12,77.04,0.0
2013-11-22,77.77,1061.1,12,78.37,0.0
2013-12-24,81.23,1059.3,12,85.06,0.0
2014-01-27,79.79,1078.4,11,84.22,-0.0
2014-02-24,83.98,1072.1,11,91.83,0.0
2014-03-25,82.75,1076.8,11,88.95,-1.03
2014-04-24,81.89,1038.7,12,79.55,-5.53
2014-05-23,84.03,1023.97998046875,12,80.79,-4.43
2014-06-24,86.9,1018.55,11,85.16,-1.69
2014-07-25,90.68,1028.4000244140625,11,94.13,0.0
2014-08-25,93.18,1019.0,10,96.76,0.0
2014-09-24,93.81,1038.7,11,100.88,0.0
2014-10-27,92.73,1055.6,10,100.86,0.0
2014-11-21,97.6,1111.9,9,121.56,0.0
2014-12-24,98.37,1106.1,9,121.03,0.0
2015-01-26,98.22,1084.5,9,115.36,-2.1
2015-02-23,102.35,1109.1,9,128.3,0.0
2015-03-25,99.69,1101.67,9,119.79,-3.25
2015-04-24,104.49,1080.02001953125,9,124.7,-0.59
2015-05-22,104.43,1091.47998046875,8,125.93,0.0
2015-06-24,104.43,1107.92,9,128.15,0.0
2015-07-27,104.39,1165.03,8,138.63,0.0
2015-08-25,92.94,1189.16,9,115.85,-9.12
2015-09-24,98.59,1188.94,9,127.77,-3.62
2015-10-26,107.18,1134.01,8,135.04,-0.06
2015-11-23,108.42,1152.62,8,140.47,0.0
2015-12-24,107.26,1172.16,8,140.74,0.0
2016-01-25,97.39,1195.57,8,122.0,-7.39
2016-02-23,96.77,1220.95,9,124.18,-6.02
2016-03-24,102.49,1166.15,8,125.78,-4.94
2016-04-25,104.13,1148.52,8,124.95,-4.88
2016-05-24,103.63,1185.55,8,130.06,-2.28
2016-06-24,99.91,1141.260009765625,9,112.58,-9.31
2016-07-25,108.89,1141.53,8,130.71,-1.13
2016-08-25,111.72,1114.13,8,130.0,-1.0
2016-09-26,112.7,1107.46,8,129.62,-0.73
2016-10-25,114.47,1129.1,8,136.68,0.0
2016-11-23,113.73,1167.93,7,142.22,0.0
2016-12-23,115.79,1205.1,8,153.14,0.0
2017-01-25,120.82,1168.03,7,154.85,0.0
2017-02-22,125.71,1141.18,7,157.88,0.0
2017-03-27,126.3,1111.1,7,151.15,-2.18
2017-04-24,129.5,1133.84,6,161.72,0.0
2017-05-24,134.93,1118.38,7,167.67,0.0
2017-06-26,136.07,1133.08,7,172.12,0.0
2017-07-25,139.77,1119.24,6,174.91,0.0
2017-08-25,137.41,1127.280029296875,6,171.06,-0.98
2017-09-25,138.52,1133.82,7,173.47,0.0
2017-10-25,143.01,1126.47,6,179.27,0.0
2017-11-24,151.58,1082.59,6,183.2,0.0
2017-12-22,152.97,1080.21,6,183.89,0.0
2018-01-25,163.65,1064.4,5,198.07,0.0
2018-02-22,160.2,1074.86,6,193.27,-1.15
2018-03-23,154.33,1079.9,6,182.59,-4.32
2018-04-24,154.28,1076.75,6,180.45,-4.63
2018-05-24,165.08,1079.23,6,199.32,0.0
2018-06-25,167.21,1114.03,5,211.64,0.0
2018-07-25,178.38,1115.75,5,231.43,0.0
2018-08-27,179.86,1108.23,5,230.4,0.0
2018-09-24,179.75,1117.85,5,231.52,0.0
2018-10-25,167.21,1135.23,5,211.87,-5.53
2018-11-26,159.22,1133.5,6,195.14,-10.18
2018-12-24,140.67,1127.5,6,158.4,-21.07
2019-01-25,161.89,1126.75,5,196.03,-9.22
2019-02-22,169.48,1124.15,5,207.93,-5.18
2019-03-25,175.02,1135.14,5,219.71,-1.13
2019-04-24,186.31,1155.26,5,244.7,0.0
2019-05-24,174.96,1188.800048828125,5,231.59,-3.37
2019-06-24,185.19,1152.47,4,238.98,-0.84
2019-07-25,190.25,1182.39,5,255.5,0.0
2019-08-26,181.9,1210.73,4,246.71,-2.1
2019-09-24,185.38,1193.94,5,246.77,-1.61
2019-10-25,192.94,1174.25,4,253.56,0.0
2019-11-22,199.05,1175.23,4,263.57,0.0
2019-12-24,209.45,1161.57,5,276.1,0.0
2020-01-27,215.56,1169.15,3,288.29,0.0
2020-02-24,218.81,1205.77,4,304.58,0.0
2020-03-25,180.56,1228.6,5,238.61,-15.92
2020-04-24,211.8,1232.449951171875,4,296.63,-1.06
2020-05-22,227.47,1233.3900146484375,3,324.7,0.0
2020-06-24,241.8,1205.25,4,338.86,0.0
2020-07-27,258.09,1195.92,3,362.86,0.0
2020-08-25,283.62,1186.46,3,402.3,0.0
2020-09-24,263.31,1168.5,3,357.39,-8.57
2020-10-26,278.28,1127.76,3,364.59,-6.74
2020-11-23,288.12,1113.83,3,373.05,-4.63
2020-12-24,307.7,1104.8,3,398.82,0.0
2021-01-25,326.13,1104.64,2,426.9,0.0
2021-02-22,320.5,1103.94,3,415.03,-1.79
2021-03-25,309.85,1134.48,3,409.3,-2.43
2021-04-26,340.0,1109.23,3,443.66,0.0
2021-05-24,330.92,1122.19,2,433.57,-1.53
2021-06-24,348.63,1130.8,3,463.46,0.0
2021-07-26,367.16,1151.76,2,502.11,0.0
2021-08-25,373.45,1163.33,2,516.16,0.0
2021-09-24,372.39,1174.699951171875,3,516.79,0.0
2021-10-25,376.98,1167.06,2,517.91,0.0
2021-11-23,396.48,1189.5,2,559.57,0.0
2021-12-27,402.98,1185.92,2,565.52,0.0
2022-01-25,344.68,1195.66,2,471.88,-13.76
2022-02-22,337.66,1194.68,2,457.84,-15.59
2022-03-25,359.35,1217.55,3,501.62,-8.45
2022-04-25,329.58,1249.21,2,464.16,-13.85
